Title,Actors
A Monster Calls,Sigourney Weaver
A Monster Calls,"Felicity Jones,Toby Kebbell"
Collateral Beauty,Will Smith
Collateral Beauty,Edward Norton
Collateral Beauty,Kate Winslet
Collateral Beauty,Michael Peña
Zootopia,Ginnifer Goodwin
Zootopia,Jason Bateman
Zootopia,Idris Elba
Zootopia,Jenny Slate
Pirates of the Caribbean: At World's End,Johnny Depp
Pirates of the Caribbean: At World's End,Orlando Bloom
Pirates of the Caribbean: At World's End,"Keira Knightley,Geoffrey Rush"
The Avengers,Robert Downey Jr.
The Avengers,Chris Evans
The Avengers,"Scarlett Johansson,Jeremy Renner"
Inglourious Basterds,Brad Pitt
Inglourious Basterds,Diane Kruger
Inglourious Basterds,"Eli Roth,Mélanie Laurent"
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
Pirates of the Caribbean: Dead Man's Chest,Orlando Bloom
Pirates of the Caribbean: Dead Man's Chest,Keira Knightley
Pirates of the Caribbean: Dead Man's Chest,Jack Davenport
Ghostbusters,Melissa McCarthy
Ghostbusters,Kristen Wiig
Ghostbusters,Kate McKinnon
Ghostbusters,Leslie Jones
Inception,Leonardo DiCaprio
Inception,Joseph Gordon-Levitt
Inception,Ellen Page
Inception,Ken Watanabe
Captain Fantastic,Viggo Mortensen
Captain Fantastic,George MacKay
Captain Fantastic,"Samantha Isler,Annalise Basso"
The Wolf of Wall Street,Leonardo DiCaprio
The Wolf of Wall Street,Jonah Hill
The Wolf of Wall Street,"Margot Robbie,Matthew McConaughey"
Gone Girl,Ben Affleck
Gone Girl,Rosamund Pike
Gone Girl,"Neil Patrick Harris,Tyler Perry"
Furious Seven,Vin Diesel
Furious Seven,Paul Walker
Furious Seven,Dwayne Johnson
Furious Seven,Jason Statham
Jurassic World,Chris Pratt
Jurassic World,Bryce Dallas Howard
Jurassic World,"Ty Simpkins,Judy Greer"
Live by Night,Ben Affleck
Live by Night,Elle Fanning
Live by Night,Brendan Gleeson
Live by Night,Chris Messina
Avatar,Sam Worthington
Avatar,Zoe Saldana
Avatar,Sigourney Weaver
Avatar,Michelle Rodriguez
The Hateful Eight,Samuel L. Jackson
The Hateful Eight,Kurt Russell
The Hateful Eight,Jennifer Jason Leigh
The Hateful Eight,Walton Goggins
The Accountant,Ben Affleck
The Accountant,Anna Kendrick
The Accountant,J.K. Simmons
The Accountant,Jon Bernthal
Prisoners,Hugh Jackman
Prisoners,Jake Gyllenhaal
Prisoners,"Viola Davis,Melissa Leo"
Warcraft,Travis Fimmel
Warcraft,Paula Patton
Warcraft,Ben Foster
Warcraft,Dominic Cooper
The Help,Emma Stone
The Help,Viola Davis
The Help,Octavia Spencer
The Help,Bryce Dallas Howard
War Dogs,Jonah Hill
War Dogs,Miles Teller
War Dogs,Steve Lantz
War Dogs,Gregg Weiner
Avengers: Age of Ultron,Robert Downey Jr.
Avengers: Age of Ultron,Chris Evans
Avengers: Age of Ultron,Mark Ruffalo
