Title,Actors
Shame,Michael Fassbender
Shame,Carey Mulligan
Shame,James Badge Dale
Shame,Lucy Walters
Hanna,Saoirse Ronan
Hanna,Cate Blanchett
Hanna,Eric Bana
Hanna,Vicky Krieps
The Babysitters,Lauren Birkell
The Babysitters,Paul Borghese
The Babysitters,Chira Cassel
The Babysitters,Anthony Cirillo
Pride and Prejudice and Zombies,Lily James
Pride and Prejudice and Zombies,Sam Riley
Pride and Prejudice and Zombies,Jack Huston
Pride and Prejudice and Zombies,Bella Heathcote
300: Rise of an Empire,Sullivan Stapleton
300: Rise of an Empire,Eva Green
300: Rise of an Empire,Lena Headey
300: Rise of an Empire,Hans Matheson
London Has Fallen,Gerard Butler
London Has Fallen,Aaron Eckhart
London Has Fallen,"Morgan Freeman,Angela Bassett"
The Curious Case of Benjamin Button,Brad Pitt
The Curious Case of Benjamin Button,Cate Blanchett
The Curious Case of Benjamin Button,Tilda Swinton
The Curious Case of Benjamin Button,Julia Ormond
Sin City: A Dame to Kill For,Mickey Rourke
Sin City: A Dame to Kill For,Jessica Alba
Sin City: A Dame to Kill For,Josh Brolin
Sin City: A Dame to Kill For,Joseph Gordon-Levitt
The Bourne Ultimatum,Matt Damon
The Bourne Ultimatum,Edgar Ramírez
The Bourne Ultimatum,Joan Allen
The Bourne Ultimatum,Julia Stiles
Srpski film,Srdjan 'Zika' Todorovic
Srpski film,"Sergej Trifunovic,Jelena Gavrilovic"
Srpski film,Slobodan Bestic
The Purge: Election Year,Frank Grillo
The Purge: Election Year,Elizabeth Mitchell
The Purge: Election Year,Mykelti Williamson
The Purge: Election Year,Joseph Julian Soria
3 Idiots,Aamir Khan
3 Idiots,Madhavan
3 Idiots,Mona Singh
3 Idiots,Sharman Joshi
Zoolander 2,Ben Stiller
Zoolander 2,Owen Wilson
Zoolander 2,Penélope Cruz
Zoolander 2,Will Ferrell
World War Z,Brad Pitt
World War Z,Mireille Enos
World War Z,Daniella Kertesz
World War Z,James Badge Dale
Mission: Impossible - Ghost Protocol,Tom Cruise
Mission: Impossible - Ghost Protocol,Jeremy Renner
Mission: Impossible - Ghost Protocol,Simon Pegg
Mission: Impossible - Ghost Protocol,Paula Patton
Let Me Make You a Martyr,Marilyn Manson
Let Me Make You a Martyr,Mark Boone Junior
Let Me Make You a Martyr,Sam Quartin
Let Me Make You a Martyr,Niko Nicotera
Filth,James McAvoy
Filth,Jamie Bell
Filth,Eddie Marsan
Filth,Imogen Poots
The Longest Ride,Scott Eastwood
The Longest Ride,Britt Robertson
The Longest Ride,Alan Alda
The Longest Ride,Jack Huston
The imposible,Naomi Watts
The imposible,Ewan McGregor
The imposible,Tom Holland
The imposible,Oaklee Pendergast
Kick-Ass 2,Aaron Taylor-Johnson
Kick-Ass 2,"Chloë Grace Moretz,Christopher Mintz-Plasse"
Kick-Ass 2,Jim Carrey
Folk Hero & Funny Guy,Alex Karpovsky
Folk Hero & Funny Guy,Wyatt Russell
Folk Hero & Funny Guy,"Meredith Hagner,Melanie Lynskey"
Oz the Great and Powerful,James Franco
Oz the Great and Powerful,Michelle Williams
Oz the Great and Powerful,Rachel Weisz
Oz the Great and Powerful,Mila Kunis
Brooklyn,Saoirse Ronan
Brooklyn,Emory Cohen
Brooklyn,"Domhnall Gleeson,Jim Broadbent"
Coraline,Dakota Fanning
Coraline,Teri Hatcher
Coraline,John Hodgman
Coraline,Jennifer Saunders
Blue Valentine,Ryan Gosling
Blue Valentine,Michelle Williams
Blue Valentine,"John Doman,Faith Wladyka"
The Thinning,Logan Paul
The Thinning,Peyton List
The Thinning,"Lia Marie Johnson,Calum Worthy"
Silent Hill,Radha Mitchell
Silent Hill,Laurie Holden
Silent Hill,"Sean Bean,Deborah Kara Unger"
Dredd,Karl Urban
Dredd,Olivia Thirlby
Dredd,Lena Headey
Dredd,Rachel Wood
Hunt for the Wilderpeople,Sam Neill
Hunt for the Wilderpeople,Julian Dennison
Hunt for the Wilderpeople,Rima Te Wiata
Hunt for the Wilderpeople,Rachel House
Big Hero 6,Ryan Potter
Big Hero 6,Scott Adsit
Big Hero 6,"Jamie Chung,T.J. Miller"
Carrie,Chloë Grace Moretz
Carrie,Julianne Moore
Carrie,Gabriella Wilde
Carrie,Portia Doubleday
Iron Man 2,Robert Downey Jr.
Iron Man 2,Mickey Rourke
Iron Man 2,"Gwyneth Paltrow,Don Cheadle"
Demolition,Jake Gyllenhaal
Demolition,Naomi Watts
Demolition,"Chris Cooper,Judah Lewis"
Pandorum,Dennis Quaid
Pandorum,Ben Foster
Pandorum,Cam Gigandet
Pandorum,Antje Traue
Olympus Has Fallen,Gerard Butler
Olympus Has Fallen,Aaron Eckhart
Olympus Has Fallen,"Morgan Freeman,Angela Bassett"
I Am Number Four,Alex Pettyfer
I Am Number Four,Timothy Olyphant
I Am Number Four,Dianna Agron
I Am Number Four,Teresa Palmer
Jagten,Mads Mikkelsen
Jagten,Thomas Bo Larsen
Jagten,Annika Wedderkopp
Jagten,Lasse Fogelstrøm
The Proposal,Sandra Bullock
The Proposal,Ryan Reynolds
The Proposal,"Mary Steenburgen,Craig T. Nelson"
Get Hard,Will Ferrell
Get Hard,Kevin Hart
Get Hard,Alison Brie
Get Hard,T.I.
Just Go with It,Adam Sandler
Just Go with It,Jennifer Aniston
Just Go with It,"Brooklyn Decker,Nicole Kidman"
Revolutionary Road,Leonardo DiCaprio
Revolutionary Road,Kate Winslet
Revolutionary Road,Christopher Fitzgerald
Revolutionary Road,Jonathan Roumie
The Town,Ben Affleck
The Town,Rebecca Hall
The Town,Jon Hamm
The Town,Jeremy Renner
The Boy,Lauren Cohan
The Boy,Rupert Evans
The Boy,James Russell
The Boy,Jim Norton
Denial,Rachel Weisz
Denial,Tom Wilkinson
Denial,Timothy Spall
Denial,Andrew Scott
Predestination,Ethan Hawke
Predestination,Sarah Snook
Predestination,Noah Taylor
Predestination,Madeleine West
Goosebumps,Jack Black
Goosebumps,Dylan Minnette
Goosebumps,Odeya Rush
Goosebumps,Ryan Lee
Sherlock Holmes: A Game of Shadows,Robert Downey Jr.
Sherlock Holmes: A Game of Shadows,Jude Law
Sherlock Holmes: A Game of Shadows,Jared Harris
Sherlock Holmes: A Game of Shadows,Rachel McAdams
Salt,Angelina Jolie
Salt,Liev Schreiber
Salt,Chiwetel Ejiofor
Salt,Daniel Olbrychski
Enemy,Jake Gyllenhaal
Enemy,Mélanie Laurent
Enemy,"Sarah Gadon,Isabella Rossellini"
District 9,Sharlto Copley
District 9,David James
District 9,Jason Cope
District 9,Nathalie Boltt
The Other Guys,Will Ferrell
The Other Guys,Mark Wahlberg
The Other Guys,Derek Jeter
The Other Guys,Eva Mendes
American Gangster,Denzel Washington
American Gangster,Russell Crowe
American Gangster,"Chiwetel Ejiofor,Josh Brolin"
Marie Antoinette,Kirsten Dunst
Marie Antoinette,Jason Schwartzman
Marie Antoinette,Rip Torn
Marie Antoinette,Judy Davis
2012,John Cusack
2012,Thandie Newton
2012,"Chiwetel Ejiofor,Amanda Peet"
Harry Potter and the Half-Blood Prince,Daniel Radcliffe
Harry Potter and the Half-Blood Prince,Emma Watson
Harry Potter and the Half-Blood Prince,Rupert Grint
Harry Potter and the Half-Blood Prince,Michael Gambon
Argo,Ben Affleck
Argo,Bryan Cranston
Argo,John Goodman
Argo,Alan Arkin
Eddie the Eagle,Taron Egerton
Eddie the Eagle,Hugh Jackman
Eddie the Eagle,Tom Costello
Eddie the Eagle,Jo Hartley
The Lives of Others,Ulrich Mühe
The Lives of Others,"Martina Gedeck,Sebastian Koch"
The Lives of Others,Ulrich Tukur
Pet,Dominic Monaghan
Pet,Ksenia Solo
Pet,"Jennette McCurdy,Da'Vone McDonald"
Paint It Black,Alia Shawkat
Paint It Black,Nancy Kwan
Paint It Black,"Annabelle Attanasio,Alfred Molina"
Macbeth,Michael Fassbender
Macbeth,Marion Cotillard
Macbeth,"Jack Madigan,Frank Madigan"
Forgetting Sarah Marshall,Kristen Bell
Forgetting Sarah Marshall,Jason Segel
Forgetting Sarah Marshall,Paul Rudd
Forgetting Sarah Marshall,Mila Kunis
The Giver,Brenton Thwaites
The Giver,Jeff Bridges
The Giver,Meryl Streep
The Giver,Taylor Swift
Triple 9,Casey Affleck
Triple 9,Chiwetel Ejiofor
Triple 9,"Anthony Mackie,Aaron Paul"
Perfetti sconosciuti,Giuseppe Battiston
Perfetti sconosciuti,Anna Foglietta
Perfetti sconosciuti,"Marco Giallini,Edoardo Leo"
Angry Birds,Jason Sudeikis
Angry Birds,Josh Gad
Angry Birds,Danny McBride
Angry Birds,Maya Rudolph
Moonrise Kingdom,Jared Gilman
Moonrise Kingdom,Kara Hayward
Moonrise Kingdom,Bruce Willis
Moonrise Kingdom,Bill Murray
Hairspray,John Travolta
Hairspray,Queen Latifah
Hairspray,"Nikki Blonsky,Michelle Pfeiffer"
Safe Haven,Julianne Hough
Safe Haven,Josh Duhamel
Safe Haven,"Cobie Smulders,David Lyons"
Focus,Will Smith
Focus,Margot Robbie
Focus,Rodrigo Santoro
Focus,Adrian Martinez
Ratatouille,Brad Garrett
Ratatouille,Lou Romano
Ratatouille,"Patton Oswalt,Ian Holm"
Stake Land,Connor Paolo
Stake Land,Nick Damici
Stake Land,Kelly McGillis
Stake Land,Gregory Jones
The Book of Eli,Denzel Washington
The Book of Eli,Mila Kunis
The Book of Eli,Ray Stevenson
The Book of Eli,Gary Oldman
Cloverfield,Mike Vogel
Cloverfield,Jessica Lucas
Cloverfield,Lizzy Caplan
Cloverfield,T.J. Miller
Point Break,Edgar Ramírez
Point Break,Luke Bracey
Point Break,Ray Winstone
Point Break,Teresa Palmer
Under the Skin,Scarlett Johansson
Under the Skin,Jeremy McWilliams
Under the Skin,Lynsey Taylor Mackay
Under the Skin,Dougie McConnell
I Am Legend,Will Smith
I Am Legend,Alice Braga
I Am Legend,Charlie Tahan
I Am Legend,Salli Richardson-Whitfield
Men in Black 3,Will Smith
Men in Black 3,Tommy Lee Jones
Men in Black 3,"Josh Brolin,Jemaine Clement"
Super 8,Elle Fanning
Super 8,AJ Michalka
Super 8,Kyle Chandler
Super 8,Joel Courtney
Law Abiding Citizen,Gerard Butler
Law Abiding Citizen,Jamie Foxx
Law Abiding Citizen,Leslie Bibb
Law Abiding Citizen,Colm Meaney
Up,Edward Asner
Up,Jordan Nagai
Up,John Ratzenberger
Up,Christopher Plummer
Maze Runner: The Scorch Trials,Dylan O'Brien
Maze Runner: The Scorch Trials,Kaya Scodelario
Maze Runner: The Scorch Trials,"Thomas Brodie-Sangster,Giancarlo Esposito"
Carol,Cate Blanchett
Carol,Rooney Mara
Carol,Sarah Paulson
Carol,Kyle Chandler
Imperium,Daniel Radcliffe
Imperium,Toni Collette
Imperium,Tracy Letts
Imperium,Sam Trammell
Youth,Michael Caine
Youth,Harvey Keitel
Youth,Rachel Weisz
Youth,Jane Fonda
Mr. Nobody,Jared Leto
Mr. Nobody,Sarah Polley
Mr. Nobody,Diane Kruger
Mr. Nobody,Linh Dan Pham
City of Tiny Lights,Riz Ahmed
City of Tiny Lights,Billie Piper
City of Tiny Lights,James Floyd
City of Tiny Lights,Cush Jumbo
Savages,Aaron Taylor-Johnson
Savages,Taylor Kitsch
Savages,"Blake Lively,Benicio Del Toro"
(500) Days of Summer,Zooey Deschanel
(500) Days of Summer,Joseph Gordon-Levitt
(500) Days of Summer,Geoffrey Arend
(500) Days of Summer,Chloë Grace Moretz
Movie 43,Emma Stone
Movie 43,Stephen Merchant
Movie 43,Richard Gere
Movie 43,Liev Schreiber
Gravity,Sandra Bullock
Gravity,George Clooney
Gravity,Ed Harris
Gravity,Orto Ignatiussen
The Boy in the Striped Pyjamas,Asa Butterfield
The Boy in the Striped Pyjamas,David Thewlis
The Boy in the Striped Pyjamas,Rupert Friend
The Boy in the Striped Pyjamas,Zac Mattoon O'Brien
Shooter,Mark Wahlberg
Shooter,Michael Peña
Shooter,Rhona Mitra
Shooter,Danny Glover
The Happening,Mark Wahlberg
The Happening,Zooey Deschanel
The Happening,John Leguizamo
The Happening,Ashlyn Sanchez
Bone Tomahawk,Kurt Russell
Bone Tomahawk,Patrick Wilson
Bone Tomahawk,Matthew Fox
Bone Tomahawk,Richard Jenkins
Magic Mike XXL,Channing Tatum
Magic Mike XXL,Joe Manganiello
Magic Mike XXL,"Matt Bomer,Adam Rodriguez"
Easy A,Emma Stone
Easy A,Amanda Bynes
Easy A,Penn Badgley
Easy A,Dan Byrd
Exodus: Gods and Kings,Christian Bale
Exodus: Gods and Kings,Joel Edgerton
Exodus: Gods and Kings,Ben Kingsley
Exodus: Gods and Kings,Sigourney Weaver
Chappie,Sharlto Copley
Chappie,Dev Patel
Chappie,"Hugh Jackman,Sigourney Weaver"
The Hobbit: The Desolation of Smaug,Ian McKellen
The Hobbit: The Desolation of Smaug,Martin Freeman
The Hobbit: The Desolation of Smaug,"Richard Armitage,Ken Stott"
Half of a Yellow Sun,Chiwetel Ejiofor
Half of a Yellow Sun,Thandie Newton
Half of a Yellow Sun,"Anika Noni Rose,Joseph Mawle"
Anthropoid,Jamie Dornan
Anthropoid,Cillian Murphy
Anthropoid,Brian Caspe
Anthropoid,Karel Hermánek Jr.
The Counselor,Michael Fassbender
The Counselor,Penélope Cruz
The Counselor,"Cameron Diaz,Javier Bardem"
Viking,Anton Adasinsky
Viking,Aleksandr Armer
Viking,Vilen Babichev
Viking,Rostislav Bershauer
Whiskey Tango Foxtrot,Tina Fey
Whiskey Tango Foxtrot,Margot Robbie
Whiskey Tango Foxtrot,Martin Freeman
Whiskey Tango Foxtrot,Alfred Molina
Trust,Clive Owen
Trust,Catherine Keener
Trust,"Liana Liberato,Jason Clarke"
Birth of the Dragon,Billy Magnussen
Birth of the Dragon,Terry Chen
Birth of the Dragon,"Teresa Navarro,Vanessa Ross"
Elysium,Matt Damon
Elysium,Jodie Foster
Elysium,Sharlto Copley
Elysium,Alice Braga
The Green Inferno,Lorenza Izzo
The Green Inferno,Ariel Levy
The Green Inferno,Aaron Burns
The Green Inferno,Kirby Bliss Blanton
Godzilla,Aaron Taylor-Johnson
Godzilla,Elizabeth Olsen
Godzilla,Bryan Cranston
Godzilla,Ken Watanabe
The Bourne Legacy,Jeremy Renner
The Bourne Legacy,Rachel Weisz
The Bourne Legacy,Edward Norton
The Bourne Legacy,Scott Glenn
A Good Year,Russell Crowe
A Good Year,Abbie Cornish
A Good Year,Albert Finney
A Good Year,Marion Cotillard
Friend Request,Alycia Debnam-Carey
Friend Request,William Moseley
Friend Request,Connor Paolo
Friend Request,Brit Morgan
Deja Vu,Denzel Washington
Deja Vu,Paula Patton
Deja Vu,Jim Caviezel
Deja Vu,Val Kilmer
Lucy,Scarlett Johansson
Lucy,Morgan Freeman
Lucy,"Min-sik Choi,Amr Waked"
A Quiet Passion,Cynthia Nixon
A Quiet Passion,Jennifer Ehle
A Quiet Passion,Duncan Duff
A Quiet Passion,Keith Carradine
Need for Speed,Aaron Paul
Need for Speed,Dominic Cooper
Need for Speed,Imogen Poots
Need for Speed,Scott Mescudi
Jack Reacher,Tom Cruise
Jack Reacher,Rosamund Pike
Jack Reacher,Richard Jenkins
Jack Reacher,Werner Herzog
The Do-Over,Adam Sandler
The Do-Over,David Spade
The Do-Over,Paula Patton
The Do-Over,Kathryn Hahn
True Crimes,Jim Carrey
True Crimes,Charlotte Gainsbourg
True Crimes,Marton Csokas
True Crimes,Kati Outinen
American Pastoral,Ewan McGregor
American Pastoral,Jennifer Connelly
American Pastoral,Dakota Fanning
American Pastoral,Peter Riegert
The Ghost Writer,Ewan McGregor
The Ghost Writer,Pierce Brosnan
The Ghost Writer,"Olivia Williams,Jon Bernthal"
Limitless,Bradley Cooper
Limitless,Anna Friel
Limitless,Abbie Cornish
Limitless,Robert De Niro
Spectral,James Badge Dale
Spectral,Emily Mortimer
Spectral,"Bruce Greenwood,Max Martini"
P.S. I Love You,Hilary Swank
P.S. I Love You,Gerard Butler
P.S. I Love You,Harry Connick Jr.
P.S. I Love You,Lisa Kudrow
Zipper,Patrick Wilson
Zipper,Lena Headey
Zipper,"Ray Winstone,Richard Dreyfuss"
Midnight Special,Michael Shannon
Midnight Special,Joel Edgerton
Midnight Special,Kirsten Dunst
Midnight Special,Adam Driver
Don't Think Twice,Keegan-Michael Key
Don't Think Twice,Gillian Jacobs
Don't Think Twice,"Mike Birbiglia,Chris Gethard"
Alice in Wonderland,Mia Wasikowska
Alice in Wonderland,Johnny Depp
Alice in Wonderland,"Helena Bonham Carter,Anne Hathaway"
Chuck,Elisabeth Moss
Chuck,Naomi Watts
Chuck,Ron Perlman
Chuck,Liev Schreiber
"I, Daniel Blake",Dave Johns
"I, Daniel Blake",Hayley Squires
"I, Daniel Blake",Sharon Percy
"I, Daniel Blake",Briana Shann
The Break-Up,Jennifer Aniston
The Break-Up,Vince Vaughn
The Break-Up,Jon Favreau
The Break-Up,Joey Lauren Adams
Loving,Ruth Negga
Loving,Joel Edgerton
Loving,Will Dalton
Loving,Dean Mumford
Fantastic Four,Miles Teller
Fantastic Four,Kate Mara
Fantastic Four,Michael B. Jordan
Fantastic Four,Jamie Bell
The Survivalist,Mia Goth
The Survivalist,Martin McCann
The Survivalist,Barry Ward
The Survivalist,Andrew Simpson
Colonia,Emma Watson
Colonia,Daniel Brühl
Colonia,"Michael Nyqvist,Richenda Carey"
The Boy Next Door,Jennifer Lopez
The Boy Next Door,Ryan Guzman
The Boy Next Door,Kristin Chenoweth
The Boy Next Door,John Corbett
The Gift,Jason Bateman
The Gift,Rebecca Hall
The Gift,Joel Edgerton
The Gift,Allison Tolman
Dracula Untold,Luke Evans
Dracula Untold,Dominic Cooper
Dracula Untold,Sarah Gadon
Dracula Untold,Art Parkinson
In the Heart of the Sea,Chris Hemsworth
In the Heart of the Sea,Cillian Murphy
In the Heart of the Sea,"Brendan Gleeson,Ben Whishaw"
Idiocracy,Luke Wilson
Idiocracy,Maya Rudolph
Idiocracy,Dax Shepard
Idiocracy,Terry Crews
The Expendables,Sylvester Stallone
The Expendables,Jason Statham
The Expendables,Jet Li
The Expendables,Dolph Lundgren
Evil Dead,Jane Levy
Evil Dead,Shiloh Fernandez
Evil Dead,Jessica Lucas
Evil Dead,Lou Taylor Pucci
Sinister,Ethan Hawke
Sinister,Juliet Rylance
Sinister,"James Ransone,Fred Dalton Thompson"
Wreck-It Ralph,John C. Reilly
Wreck-It Ralph,Jack McBrayer
Wreck-It Ralph,Jane Lynch
Wreck-It Ralph,Sarah Silverman
Snow White and the Huntsman,Kristen Stewart
Snow White and the Huntsman,Chris Hemsworth
Snow White and the Huntsman,Charlize Theron
Snow White and the Huntsman,Sam Claflin
Pan,Levi Miller
Pan,Hugh Jackman
Pan,Garrett Hedlund
Pan,Rooney Mara
Transformers: Dark of the Moon,Shia LaBeouf
Transformers: Dark of the Moon,Rosie Huntington-Whiteley
Transformers: Dark of the Moon,Tyrese Gibson
Transformers: Dark of the Moon,Josh Duhamel
Juno,Ellen Page
Juno,Michael Cera
Juno,Jennifer Garner
Juno,Jason Bateman
A Hologram for the King,Tom Hanks
A Hologram for the King,Sarita Choudhury
A Hologram for the King,"Ben Whishaw,Alexander Black"
Money Monster,George Clooney
Money Monster,Julia Roberts
Money Monster,"Jack O'Connell,Dominic West"
The Other Woman,Cameron Diaz
The Other Woman,Leslie Mann
The Other Woman,Kate Upton
The Other Woman,Nikolaj Coster-Waldau
Enchanted,Amy Adams
Enchanted,Susan Sarandon
Enchanted,James Marsden
Enchanted,Patrick Dempsey
The Intern,Robert De Niro
The Intern,Anne Hathaway
The Intern,"Rene Russo,Anders Holm"
Little Miss Sunshine,Steve Carell
Little Miss Sunshine,Toni Collette
Little Miss Sunshine,Greg Kinnear
Little Miss Sunshine,Abigail Breslin
Bleed for This,Miles Teller
Bleed for This,Aaron Eckhart
Bleed for This,Katey Sagal
Bleed for This,Ciarán Hinds
Clash of the Titans,Sam Worthington
Clash of the Titans,Liam Neeson
Clash of the Titans,"Ralph Fiennes,Jason Flemyng"
The Finest Hours,Chris Pine
The Finest Hours,Casey Affleck
The Finest Hours,Ben Foster
The Finest Hours,Eric Bana
Tron,Jeff Bridges
Tron,Garrett Hedlund
Tron,Olivia Wilde
Tron,Bruce Boxleitner
The Hunger Games: Catching Fire,Jennifer Lawrence
The Hunger Games: Catching Fire,Josh Hutcherson
The Hunger Games: Catching Fire,Liam Hemsworth
The Hunger Games: Catching Fire,Philip Seymour Hoffman
All Good Things,Ryan Gosling
All Good Things,Kirsten Dunst
All Good Things,Frank Langella
All Good Things,Lily Rabe
Kickboxer: Vengeance,Dave Bautista
Kickboxer: Vengeance,Alain Moussi
Kickboxer: Vengeance,Gina Carano
Kickboxer: Vengeance,Jean-Claude Van Damme
The Last Airbender,Noah Ringer
The Last Airbender,Nicola Peltz
The Last Airbender,"Jackson Rathbone,Dev Patel"
Sex Tape,Jason Segel
Sex Tape,Cameron Diaz
Sex Tape,Rob Corddry
Sex Tape,Ellie Kemper
What to Expect When You're Expecting,Cameron Diaz
What to Expect When You're Expecting,Matthew Morrison
What to Expect When You're Expecting,J. Todd Smith
What to Expect When You're Expecting,Dennis Quaid
Moneyball,Brad Pitt
Moneyball,Robin Wright
Moneyball,Jonah Hill
Moneyball,Philip Seymour Hoffman
Ghost Rider,Nicolas Cage
Ghost Rider,Eva Mendes
Ghost Rider,Sam Elliott
Ghost Rider,Matt Long
Unbroken,Jack O'Connell
Unbroken,Miyavi
Unbroken,Domhnall Gleeson
Unbroken,Garrett Hedlund
Immortals,Henry Cavill
Immortals,Mickey Rourke
Immortals,John Hurt
Immortals,Stephen Dorff
Sunshine,Cillian Murphy
Sunshine,Rose Byrne
Sunshine,Chris Evans
Sunshine,Michelle Yeoh
Brave,"Kelly Macdonald,Billy Connolly"
Brave,Emma Thompson
Brave,Julie Walters
Män som hatar kvinnor,Michael Nyqvist
Män som hatar kvinnor,Noomi Rapace
Män som hatar kvinnor,"Ewa Fröling,Lena Endre"
Adoration,Naomi Watts
Adoration,Robin Wright
Adoration,Xavier Samuel
Adoration,James Frecheville
The Drop,Tom Hardy
The Drop,Noomi Rapace
The Drop,"James Gandolfini,Matthias Schoenaerts"
She's the Man,Amanda Bynes
She's the Man,Laura Ramsey
She's the Man,"Channing Tatum,Vinnie Jones"
Daddy's Home,Will Ferrell
Daddy's Home,Mark Wahlberg
Daddy's Home,Linda Cardellini
Daddy's Home,Thomas Haden Church
Let Me In,Kodi Smit-McPhee
Let Me In,Chloë Grace Moretz
Let Me In,Richard Jenkins
Let Me In,Cara Buono
Never Back Down,Sean Faris
Never Back Down,Djimon Hounsou
Never Back Down,Amber Heard
Never Back Down,Cam Gigandet
Grimsby,Sacha Baron Cohen
Grimsby,Mark Strong
Grimsby,"Rebel Wilson,Freddie Crowder"
Moon,Sam Rockwell
Moon,Kevin Spacey
Moon,"Dominique McElligott,Rosie Shaw"
Megamind,Will Ferrell
Megamind,Jonah Hill
Megamind,Brad Pitt
Megamind,Tina Fey
Gangster Squad,Sean Penn
Gangster Squad,Ryan Gosling
Gangster Squad,Emma Stone
Gangster Squad,Giovanni Ribisi
Blood Father,Mel Gibson
Blood Father,Erin Moriarty
Blood Father,Diego Luna
Blood Father,Michael Parks
He's Just Not That Into You,Jennifer Aniston
He's Just Not That Into You,Jennifer Connelly
He's Just Not That Into You,"Morgan Lily,Trenton Rogers"
Kung Fu Panda 3,Jack Black
Kung Fu Panda 3,Bryan Cranston
Kung Fu Panda 3,Dustin Hoffman
Kung Fu Panda 3,Angelina Jolie
The Rise of the Krays,Matt Vael
The Rise of the Krays,Simon Cotton
The Rise of the Krays,Kevin Leslie
The Rise of the Krays,Olivia Moyles
Handsome Devil,Fionn O'Shea
Handsome Devil,Nicholas Galitzine
Handsome Devil,Andrew Scott
Handsome Devil,Moe Dunford
Winter's Bone,Jennifer Lawrence
Winter's Bone,John Hawkes
Winter's Bone,"Garret Dillahunt,Isaiah Stone"
Horrible Bosses,Jason Bateman
Horrible Bosses,Charlie Day
Horrible Bosses,Jason Sudeikis
Horrible Bosses,Steve Wiebe
Mommy,Anne Dorval
Mommy,Antoine-Olivier Pilon
Mommy,"Suzanne Clément,Patrick Huard"
Hellboy II: The Golden Army,Ron Perlman
Hellboy II: The Golden Army,Selma Blair
Hellboy II: The Golden Army,Doug Jones
Hellboy II: The Golden Army,John Alexander
Beautiful Creatures,Alice Englert
Beautiful Creatures,Viola Davis
Beautiful Creatures,"Emma Thompson,Alden Ehrenreich"
Toni Erdmann,Sandra Hüller
Toni Erdmann,Peter Simonischek
Toni Erdmann,"Michael Wittenborn,Thomas Loibl"
The Lovely Bones,Rachel Weisz
The Lovely Bones,Mark Wahlberg
The Lovely Bones,Saoirse Ronan
The Lovely Bones,Susan Sarandon
The Assassination of Jesse James by the Coward Robert Ford,Brad Pitt
The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck
The Assassination of Jesse James by the Coward Robert Ford,Sam Shepard
The Assassination of Jesse James by the Coward Robert Ford,Mary-Louise Parker
Don Jon,Joseph Gordon-Levitt
Don Jon,"Scarlett Johansson,Julianne Moore"
Don Jon,Tony Danza
Bastille Day,Idris Elba
Bastille Day,Richard Madden
Bastille Day,Charlotte Le Bon
Bastille Day,Kelly Reilly
2307: Winter's Dream,Paul Sidhu
2307: Winter's Dream,Branden Coles
2307: Winter's Dream,Arielle Holmes
2307: Winter's Dream,Kelcey Watson
Free State of Jones,Matthew McConaughey
Free State of Jones,Gugu Mbatha-Raw
Free State of Jones,Mahershala Ali
Free State of Jones,Keri Russell
Mr. Right,Anna Kendrick
Mr. Right,Sam Rockwell
Mr. Right,Tim Roth
Mr. Right,James Ransone
The Secret Life of Walter Mitty,Ben Stiller
The Secret Life of Walter Mitty,Kristen Wiig
The Secret Life of Walter Mitty,Jon Daly
The Secret Life of Walter Mitty,Kathryn Hahn
Dope,Shameik Moore
Dope,Tony Revolori
Dope,"Kiersey Clemons,Kimberly Elise"
Underworld Awakening,Kate Beckinsale
Underworld Awakening,Michael Ealy
Underworld Awakening,India Eisley
Underworld Awakening,Stephen Rea
Antichrist,Willem Dafoe
Antichrist,Charlotte Gainsbourg
Antichrist,Storm Acheche Sahlstrøm
Friday the 13th,Jared Padalecki
Friday the 13th,Amanda Righetti
Friday the 13th,"Derek Mears,Danielle Panabaker"
Taken 3,Liam Neeson
Taken 3,Forest Whitaker
Taken 3,"Maggie Grace,Famke Janssen"
Total Recall,Colin Farrell
Total Recall,Bokeem Woodbine
Total Recall,"Bryan Cranston,Kate Beckinsale"
X-Men: The Last Stand,Patrick Stewart
X-Men: The Last Stand,Hugh Jackman
X-Men: The Last Stand,Halle Berry
X-Men: The Last Stand,Famke Janssen
The Escort,Lyndsy Fonseca
The Escort,Michael Doneger
The Escort,"Tommy Dewey,Bruce Campbell"
The Whole Truth,Keanu Reeves
The Whole Truth,Renée Zellweger
The Whole Truth,Gugu Mbatha-Raw
The Whole Truth,Gabriel Basso
Night at the Museum: Secret of the Tomb,Ben Stiller
Night at the Museum: Secret of the Tomb,Robin Williams
Night at the Museum: Secret of the Tomb,Owen Wilson
Night at the Museum: Secret of the Tomb,Dick Van Dyke
Love & Other Drugs,Jake Gyllenhaal
Love & Other Drugs,Anne Hathaway
Love & Other Drugs,Judy Greer
Love & Other Drugs,Oliver Platt
The Interview,James Franco
The Interview,Seth Rogen
The Interview,Randall Park
The Interview,Lizzy Caplan
The Host,Kang-ho Song
The Host,Hee-Bong Byun
The Host,Hae-il Park
The Host,Doona Bae
Megan Is Missing,Amber Perkins
Megan Is Missing,Rachel Quinn
Megan Is Missing,Dean Waite
Megan Is Missing,Jael Elizabeth Steinmeyer
WALL·E,Ben Burtt
WALL·E,Elissa Knight
WALL·E,Jeff Garlin
